Scenario_SplHitLine(Clone)_1
time;Consigne;PlayerMvt;Hit;BPM;Ax /;Ay /;Az /;Gx /;Gy /;Gz /;Mx /;My /;Mz /;Gesture /;probability/
4,723211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,743211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,763211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,783211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,803211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,823211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,843211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,863211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,883211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,903211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,923211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,943211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,963211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
4,983211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,003211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,023211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,043211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,063211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,08321;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,103211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,12321;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,143211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,163211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,183211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,203211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,223211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,243211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,263211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,283211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,303211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,323211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
